Drug_Name,Drug_Class,Mechanism,First_Line,Typical_Starting_Dose,Maximum_Dose,Hypoglycemia_Risk,Weight_Effect,Cardiovascular_Benefit,Kidney_Benefit,Pregnancy,Renal_Adjustment,Route,Heart_Failure,Hepatic_Impairment,Cost_Tier,Injection_Required
Metformin,Biguanide,Reduces hepatic glucose production,Yes,500 mg once/twice daily,2000-2550 mg/day,Low,Weight loss/Neutral,Neutral,No,Avoid unless clinician determines benefit outweighs risk,Required in renal impairment,Oral,Neutral,Avoid,Low,No
Glimepiride,Sulfonylurea,Stimulates insulin secretion,No,1 mg/day,8 mg/day,High,Weight gain,Neutral,No,Use only if clinically appropriate,Caution,Oral,Neutral,Caution,Low,No
Glipizide,Sulfonylurea,Stimulates insulin secretion,No,5 mg/day,40 mg/day,High,Weight gain,Neutral,No,Use only if clinically appropriate,Caution,Oral,Neutral,Caution,Low,No
Glyburide,Sulfonylurea,Stimulates insulin secretion,No,2.5-5 mg/day,20 mg/day,High,Weight gain,Neutral,No,Generally avoided in pregnancy and elderly,Caution,Oral,Neutral,Caution,Low,No
Repaglinide,Meglitinide,Short acting insulin secretagogue,No,0.5 mg before meals,16 mg/day,Medium,Weight gain,Neutral,No,Use only if clinically appropriate,Caution,Oral,Neutral,Caution,Low,No
Nateglinide,Meglitinide,Stimulates rapid insulin release,No,60-120 mg before meals,360 mg/day,Medium,Weight gain,Neutral,No,Use only if clinically appropriate,Caution,Oral,Neutral,Caution,Low,No
Pioglitazone,TZD,Improves insulin sensitivity,No,15 mg/day,45 mg/day,Low,Weight gain,Possible,No,Use only if clinically appropriate,Caution in heart failure,Oral,Contraindicated,Caution,Low,No
Rosiglitazone,TZD,Improves insulin sensitivity,No,4 mg/day,8 mg/day,Low,Weight gain,No,No,Use only if clinically appropriate,Caution,Oral,Contraindicated,Caution,Low,No
Sitagliptin,DPP-4 Inhibitor,Increases incretin hormones,No,100 mg/day,100 mg/day,Low,Neutral,Neutral,Neutral,Use only if clinically appropriate,Dose adjustment required,Oral,Neutral,Safe,Medium,No
Saxagliptin,DPP-4 Inhibitor,Increases incretin hormones,No,5 mg/day,5 mg/day,Low,Neutral,Neutral,Neutral,Use only if clinically appropriate,Dose adjustment required,Oral,Caution,Safe,Medium,No
Linagliptin,DPP-4 Inhibitor,Increases incretin hormones,No,5 mg/day,5 mg/day,Low,Neutral,Neutral,Neutral,Use only if clinically appropriate,Usually no adjustment,Oral,Neutral,Safe,Medium,No
Empagliflozin,SGLT2 Inhibitor,Increases urinary glucose excretion,Preferred in CKD/HF,10 mg/day,25 mg/day,Low,Weight loss,Yes,Yes,Avoid unless clinician determines benefit outweighs risk,eGFR dependent,Oral,Beneficial,Caution,High,No
Dapagliflozin,SGLT2 Inhibitor,Increases urinary glucose excretion,Preferred in CKD/HF,5 mg/day,10 mg/day,Low,Weight loss,Yes,Yes,Avoid unless clinician determines benefit outweighs risk,eGFR dependent,Oral,Beneficial,Caution,High,No
Canagliflozin,SGLT2 Inhibitor,Increases urinary glucose excretion,Preferred in CKD,100 mg/day,300 mg/day,Low,Weight loss,Yes,Yes,Avoid unless clinician determines benefit outweighs risk,eGFR dependent,Oral,Beneficial,Caution,High,No
Ertugliflozin,SGLT2 Inhibitor,Increases urinary glucose excretion,No,5 mg/day,15 mg/day,Low,Weight loss,Possible,Possible,Avoid unless clinician determines benefit outweighs risk,eGFR dependent,Oral,Beneficial,Caution,High,No
Semaglutide,GLP-1 Receptor Agonist,Enhances glucose dependent insulin secretion,Preferred in obesity,0.25 mg weekly,2 mg weekly,Low,Weight loss,Yes,Possible,Avoid unless clinician determines benefit outweighs risk,Usually no adjustment,Injection/Oral,Beneficial,Safe,High,No
Liraglutide,GLP-1 Receptor Agonist,Enhances glucose dependent insulin secretion,Preferred in obesity,0.6 mg/day,1.8 mg/day,Low,Weight loss,Yes,Possible,Avoid unless clinician determines benefit outweighs risk,Usually no adjustment,Injection,Beneficial,Safe,High,Yes
Dulaglutide,GLP-1 Receptor Agonist,Enhances glucose dependent insulin secretion,Preferred in obesity,0.75 mg weekly,4.5 mg weekly,Low,Weight loss,Yes,Possible,Avoid unless clinician determines benefit outweighs risk,Usually no adjustment,Injection,Beneficial,Safe,High,Yes
Insulin Glargine,Long Acting Insulin,Provides basal insulin replacement,When insulin indicated,10 units/day,Individualized,High,Weight gain,Neutral,Neutral,Can be used when clinically indicated,Individualized,Injection,Neutral,Safe,Medium,Yes
Insulin Lispro,Rapid Acting Insulin,Rapid insulin replacement,When insulin indicated,Individualized,Individualized,High,Weight gain,Neutral,Neutral,Can be used when clinically indicated,Individualized,Injection,Neutral,Safe,Medium,Yes
Insulin Aspart,Rapid Acting Insulin,Rapid insulin replacement,When insulin indicated,Individualized,Individualized,High,Weight gain,Neutral,Neutral,Can be used when clinically indicated,Individualized,Injection,Neutral,Safe,Medium,Yes
